model type,model filename,plot filename,data filename,loss function,optimizer,activation_1,activation_2,last_train_accuracy_1_bucket,last_dev_accuracy_1_bucket,last_train_accuracy_2_buckets,last_dev_accuracy_2_buckets,last_train_MSE,last_dev_MSE,last_train_MAE,last_dev_MAE,last_train_MAPE,last_dev_MAPE,epochs,runtime,dev accuracy,train accuracy,batch_size,kernel_size,depth,num_hidden,max_pool_kernel_size,learning_rate,speed_bucket_size,loss_function,input_num_timestamps,checkin_frequency,plot_note,model_loaded,results_file_name,num_channels,label_window_size,sample_stride
cnn,RMSProp,plot_filename,../datasets/quarter-big.csv,cross_entropy,rmsprop,relu,tanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,100,6,40,10,6,0.0001,0.1,cross_entropy,36,10,,none,cnn,11,5,5
cnn,RMSProp,1528492472.140732User-e8468a291623,../datasets/quarter-big.csv,cross_entropy,rmsprop,relu,tanh,0.3606780469417572,0.3649366497993469,0.5513649582862854,0.5527176260948181,0.3137505948543549,0.3047376573085785,0.3433650732040405,0.3386402428150177,0.3433650732040405,0.3386402428150177,1000,10737.701445817947,0.13322435319423676,0.12551341950893402,100,6,40,10,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,5,5
cnn,widerWindow,1528508060.416634User-e8468a291623,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.7034515738487244,0.6810380220413208,0.8779585361480713,0.8624846935272217,0.047925248742103584,0.05320216715335846,0.13897569477558136,0.1459769308567047,0.13897569477558136,0.1459769308567047,1000,10549.641964673996,0.27237433195114136,0.3036285638809204,100,6,40,10,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,25,5
cnn,thurs,plot_filename,../datasets/quarter-big.csv,cross_entropy,adam,relu,tanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,0.0,0.0,0.0,150,6,40,20,6,0.0001,0.1,cross_entropy,36,1,,none,cnn,11,5,5
cnn,thurs,1528475315.9753604User-cf1a8ad6d3b6,../datasets/quarter-big.csv,cross_entropy,adam,relu,tanh,0.61347496509552,0.5122599005699158,0.7922254800796509,0.701675534248352,0.08349493891000748,0.10566219687461853,0.18333448469638824,0.2190378457307816,0.18333448469638824,0.2190378457307816,2000,30735.883857011802,0.1951369047164917,0.2709283530712128,150,6,40,20,6,0.0001,0.1,cross_entropy,36,1,,,cnn,11,5,5
cnn,wider-window,1528491470.8342316User-cf1a8ad6d3b6,../datasets/quarter-big.csv,cross_entropy,adam,relu,tanh,0.6423444151878357,0.5407047271728516,0.817355751991272,0.7399756908416748,0.1093263030052185,0.13036780059337616,0.18624338507652285,0.22176584601402285,0.18624338507652285,0.22176584601402285,2000,12526.006625890732,0.2272174954414368,0.2722398936748505,150,6,40,5,6,0.0001,0.1,cross_entropy,36,20,,,cnn,11,15,10
cnn,larger-window,1528506517.920353User-cf1a8ad6d3b6,../datasets/quarter-big.csv,cross_entropy,adam,relu,tanh,0.7190368175506592,0.589307427406311,0.8724216222763062,0.7950587272644043,0.13132011890411374,0.1485920250415802,0.1839701235294342,0.21844515204429624,0.1839701235294342,0.21844515204429624,2000,12707.978654146194,0.2417982965707779,0.3140845000743866,150,6,40,5,6,0.0001,0.1,cross_entropy,36,20,increase win to 25,,cnn,11,25,10
cnn,sig-fc,plot_filename,../datasets/quarter-big.csv,cross_entropy,adam,relu,sigmoid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,100,6,40,10,6,1e-05,0.1,cross_entropy,36,1,,none,cnn,11,5,10
cnn,sig-fc,1528491745.9533699User-33ebfcdfaa26,../datasets/quarter-big.csv,cross_entropy,adam,relu,sigmoid,0.3594275414943695,0.3519643545150757,0.5393457412719727,0.5390846729278564,0.3127768337726593,0.31925106048583984,0.3483952879905701,0.3515145480632782,0.3483952879905701,0.3515145480632782,1000,8599.036068201065,0.12798704206943512,0.13162198662757876,100,6,40,10,6,1e-05,0.1,cross_entropy,36,1,,,cnn,11,5,10
cnn,widerWindow2,1528500925.2636044User-33ebfcdfaa26,../datasets/quarter-big.csv,cross_entropy,adam,relu,sigmoid,0.3768741488456726,0.377075731754303,0.5775556564331055,0.570271372795105,0.24890956282615664,0.2627459466457367,0.3083440959453583,0.31594717502593994,0.3083440959453583,0.31594717502593994,1000,4688.106788396834,0.13446739315986633,0.13593821227550507,100,6,40,10,6,1e-05,0.1,cross_entropy,36,1,,,cnn,11,25,10
cnn,30-reltan-adam-00001,1528514837.58641User-72d0affb272e,../datasets/quarter-big.csv,cross_entropy,adam,relu,tanh,0.5212427377700806,0.5093632936477661,0.7242110371589661,0.7161048650741577,0.22166559100151065,0.1900779902935028,0.2701933681964874,0.25883159041404724,0.2701933681964874,0.25883159041404724,1000,3508.844708919525,0.2029962539672852,0.20549620687961576,100,6,40,10,6,1e-05,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,30-relutan-adam-0001-h5,1528521998.4395177User-72d0affb272e,../datasets/quarter-big.csv,cross_entropy,adam,relu,tanh,0.6231753826141357,0.5573033690452576,0.8086112737655641,0.7445693016052246,0.15290793776512146,0.15206415951251984,0.20853163301944733,0.22455300390720367,0.20853163301944733,0.22455300390720367,1000,3442.2880980968475,0.21573033928871155,0.2668188810348511,100,6,40,5,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,30-reltan-grad-0001-b250,1528526787.965089User-72d0affb272e,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.5754709243774414,0.5363295674324036,0.7683274745941162,0.7348314523696899,0.1134943813085556,0.1078859120607376,0.19991448521614075,0.20715972781181333,0.19991448521614075,0.20715972781181333,1000,3070.41198182106,0.2112359553575516,0.23852238059043884,250,6,40,5,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,30-reltan-grad-0001-b30,1528530190.3544707User-72d0affb272e,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.5748185515403748,0.5662921071052551,0.7650656700134277,0.7528089880943298,0.1475933939218521,0.13481870293617249,0.21418264508247373,0.2117414027452469,0.21418264508247373,0.2117414027452469,1000,2710.509690999985,0.219475656747818,0.2357498109340668,30,6,40,5,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,30-reltan-adam-0001-b250,1528523575.949273User-3bc253012418,../datasets/quarter-big.csv,cross_entropy,adam,relu,sigmoid,0.6073554754257202,0.5730336904525757,0.7779499292373657,0.758052408695221,0.19347400963306427,0.16731372475624084,0.2267213165760041,0.2272635996341705,0.2267213165760041,0.2272635996341705,1000,3797.997339487076,0.2299625426530838,0.2619261145591736,250,6,40,10,6,0.0001,0.1,cross_entropy,36,1,,,cnn,11,30,18
cnn,30-reltan-grad-0001-h50,1528529485.240208User-3bc253012418,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.8157057762145996,0.7258427143096924,0.9211449027061462,0.8794007301330566,0.02521331608295441,0.038251202553510666,0.09969838708639144,0.12369690835475924,0.09969838708639144,0.12369690835475924,1000,5287.006360530853,0.3333333432674408,0.4491559863090515,100,6,40,50,6,0.0001,0.1,cross_entropy,36,1,,,cnn,11,30,18
cnn,30Win-Sigmoid-EC2Big,1528514369.435882User-78b264474925,../datasets/quarter-big.csv,cross_entropy,adam,relu,sigmoid,0.6637853980064392,0.5932584404945374,0.8203539252281189,0.7722846269607544,0.142326220870018,0.12702874839305878,0.1926908195018769,0.2013880163431168,0.1926908195018769,0.2013880163431168,1000,4772.387856721878,0.2471910119056701,0.29495230317115784,100,6,40,10,6,0.0001,0.1,cross_entropy,36,1,,,cnn,11,30,18
cnn,30-reltan-grad-0001,1528523249.5127108User-78b264474925,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.6909402012825012,0.659925103187561,0.8594145178794861,0.8419475555419922,0.0671362653374672,0.06794453412294388,0.15352728962898254,0.1592976450920105,0.15352728962898254,0.1592976450920105,1000,4768.844802618027,0.28239700198173523,0.3097936809062958,100,6,40,10,6,0.0001,0.1,cross_entropy,36,1,,,cnn,11,30,18
cnn,30-reltan-grad-0001-5000E,1528530736.7169864User-78b264474925,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.6710429787635803,0.6224719285964966,0.8362554311752319,0.8149812817573547,0.0887998640537262,0.0852416455745697,0.16684404015541074,0.1741778552532196,0.16684404015541074,0.1741778552532196,5000,6735.160861730577,0.25992509722709656,0.30090516805648804,100,6,40,10,6,0.0001,0.1,cross_entropy,36,1,,,cnn,11,30,18
cnn,30-reltan-grad-0001-h25-10K,1528557895.07536User-cf1a8ad6d3b6,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.8291608691215515,0.7041198611259459,0.9288102388381958,0.8501872420310974,0.02585921436548233,0.0491161048412323,0.09712179005146028,0.1364639848470688,0.09712179005146028,0.1364639848470688,10000,28129.771449089047,0.3385767936706543,0.4571475088596344,100,6,40,25,6,0.0001,0.1,cross_entropy,36,1,,,cnn,11,30,18
cnn,30-reltan-adam-0001,1528515356.526516User-cf1a8ad6d3b6,../datasets/quarter-big.csv,cross_entropy,adam,relu,tanh,0.7286145091056824,0.6239700317382812,0.8630025386810303,0.7917603254318237,0.07988626509904861,0.09552346915006638,0.15746167302131653,0.1863210201263428,0.15746167302131653,0.1863210201263428,1000,4030.151184558869,0.2666666805744171,0.3580690026283264,100,6,40,10,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,30-relutan-RMS-0001,1528522341.0535016User-cf1a8ad6d3b6,../datasets/quarter-big.csv,cross_entropy,rmsprop,relu,tanh,0.5333116054534912,0.4996254742145538,0.7283698916435242,0.6898876428604126,0.2145962119102478,0.18287888169288635,0.2442391365766525,0.2421926409006119,0.2442391365766525,0.2421926409006119,1000,3983.509190559387,0.2014981210231781,0.2125091701745987,100,6,40,10,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,30-reltan-grad-0001-h25,1528527315.74734User-cf1a8ad6d3b6,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.764739453792572,0.7108614444732666,0.8986381888389587,0.8741573095321655,0.04010020196437837,0.040261559188365936,0.12443242222070695,0.13518424332141876,0.12443242222070695,0.13518424332141876,1000,4305.253207445146,0.3258427083492279,0.3750305771827698,100,6,40,25,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,30-reltan-grad-0001-b40-h50-10K,1528556951.9674659User-8312143b5ef1,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.8329935669898987,0.7138576507568359,0.9275870323181152,0.8561797738075256,0.02247744612395764,0.037198320031166084,0.09119072556495668,0.12508058547973633,0.09119072556495668,0.12508058547973633,10000,25629.85778093338,0.3198501765727997,0.5105602145195007,30,6,40,50,6,0.0001,0.1,cross_entropy,36,1,,,cnn,11,30,18
cnn,FINAL-30-reltan-b50-h150-2K,1528571844.5721457User-26fd628ee10d,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.8785778284072876,0.7453183531761169,0.9498491287231444,0.8861423134803772,0.01509249396622181,0.03501136600971222,0.07202574610710144,0.11201665550470352,0.07202574610710144,0.11201665550470352,2000,5356.649429798126,0.33408239483833313,0.6467422246932983,50,6,40,150,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,FINAL-CNN-500Epoch,1528574719.9006412User-26fd628ee10d,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.848813533782959,0.7161048650741577,0.9409605860710144,0.8816479444503784,0.019064893946051598,0.032231125980615616,0.08416121453046799,0.1149485632777214,0.08416121453046799,0.1149485632777214,500,2643.3319323062897,0.331086128950119,0.5791404843330383,50,6,40,150,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,FINAL-CNN-500Epoch,1528575778.2322958User-26fd628ee10d,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.848813533782959,0.7161048650741577,0.9409605860710144,0.8816479444503784,0.019064893946051598,0.032231125980615616,0.08416121453046799,0.1149485632777214,0.08416121453046799,0.1149485632777214,500,3701.670079469681,0.331086128950119,0.5791404843330383,50,6,40,150,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,FINAL-CNN-500Epoch,1528575837.0606506User-26fd628ee10d,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.848813533782959,0.7161048650741577,0.9409605860710144,0.8816479444503784,0.019064893946051598,0.032231125980615616,0.08416121453046799,0.1149485632777214,0.08416121453046799,0.1149485632777214,500,3760.4991171360016,0.331086128950119,0.5791404843330383,50,6,40,150,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,FINAL-CNN-500Epoch,1528577260.8486774User-26fd628ee10d,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.848813533782959,0.7161048650741577,0.9409605860710144,0.8816479444503784,0.019064893946051598,0.032231125980615616,0.08416121453046799,0.1149485632777214,0.08416121453046799,0.1149485632777214,500,5184.283922433853,0.331086128950119,0.5791404843330383,50,6,40,150,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
cnn,FINAL-CNN-500Epoch,1528577600.153892User-26fd628ee10d,../datasets/quarter-big.csv,cross_entropy,gradient,relu,tanh,0.848813533782959,0.7161048650741577,0.9409605860710144,0.8816479444503784,0.019064893946051598,0.032231125980615616,0.08416121453046799,0.1149485632777214,0.08416121453046799,0.1149485632777214,500,5523.586095333099,0.331086128950119,0.5791404843330383,50,6,40,150,6,0.0001,0.1,cross_entropy,36,10,,,cnn,11,30,18
