activation_conv_layer,activations_strategy_CNN,batch_size,data filename,dev accuracy 1,dev accuracy 2,dev accuracy 3,epochs,evaluation_metric_1,evaluation_metric_2,evaluation_metric_3,hidden_units_strategy_CNN,input_window_size,kernel_size,label_window_size,learning_rate,loss_function,max_pool_kernel_size,model filename,model type,num_filters,optimizer_type,plot filename,runtime,sample_stride,speed_bucket_size,train accuracy 1,train accuracy 2,train accuracy 2.1,train accuracy 3
relu,tanh_,128,C:/Users/adam/Documents/CS 230/Project/Lumo Data/SAMPLE_TimeSeries_Longest1000Runs_wAnthro_MultiLabeledSpeed_20180523.csv,0,0,0,15,,,,256_256_256_128_128_128_,36,6,30,0.0001,categorical_crossentropy,6,20180726_185614,CNN,40,gradient,na, -   ,18,0.1,0,0,0,
relu,tanh_,128,C:/Users/adam/Documents/CS 230/Project/Lumo Data/SAMPLE_TimeSeries_Longest1000Runs_wAnthro_MultiLabeledSpeed_20180523.csv,0.34097176,0.169456066,0.158988382,15,class_mae,class_percent_2buckRange,class_mse,256_256_256_128_128_128_,36,6,30,0.0001,categorical_crossentropy,6,20180726_185614,CNN,40,gradient,na, 7.02 ,18,0.1,0.31546101,0.129032254,,0.13292177
relu,tanh_,128,C:/Users/adam/Documents/CS 230/Project/Lumo Data/SAMPLE_TimeSeries_Longest1000Runs_wAnthro_MultiLabeledSpeed_20180523.csv,0.341048649,0.167364018,0.159062441,10,class_mae,class_percent_2buckRange,class_mse,256_256_256_128_128_128_,36,6,30,0.0001,categorical_crossentropy,6,20180726_190111,CNN,40,gradient,na, 4.41 ,18,0.1,0.31565547,0.129032254,,0.133100018
relu,tanh_,128,C:/Users/adam/Documents/CS 230/Project/Lumo Data/SAMPLE_TimeSeries_Longest1000Runs_wAnthro_MultiLabeledSpeed_20180523.csv,0.337275084,0.157232703,0.156018115,10,class_mae,class_percent_2buckRange,class_mse,256_256_256_128_128_128_,36,6,30,0.0001,categorical_crossentropy,6,20180726_190206,CNN,40,gradient,na, 4.41 ,18,0.1,0.342921823,0.222222224,,0.154941365
relu,tanh_,128,C:/Users/adam/Documents/CS 230/Project/Lumo Data/SAMPLE_TimeSeries_Longest1000Runs_wAnthro_MultiLabeledSpeed_20180523.csv,0.337023935,0.166666668,0.154562682,5,class_mae,class_percent_2buckRange,class_mse,50_,36,6,30,0.0001,categorical_crossentropy,6,20180726_190606,CNN,40,gradient,na, 2.91 ,18,0.1,0.345233411,0.151515156,,0.166162804
relu,tanh_,50,C:/Users/adam/Documents/CS 230/Project/Lumo Data/quarter-big.csv,0.287636838,0.666503749,0.226063301,500,class_mae,class_percent_2buckRange,class_mse,50_,36,6,30,0.0001,categorical_crossentropy,6,20180726_191438,CNN,40,gradient,na," 4,980.55 ",18,0.1,0.274251661,0.676248115,,0.199719649
relu,tanh_,50,C:/Users/adam/Documents/CS 230/Project/Lumo Data/quarter-big.csv,0.277217695,0.694271688,0.215397464,100,class_mae,class_percent_2buckRange,class_mse,50_,36,6,30,0.0001,categorical_crossentropy,6,20180726_220738,CNN,40,gradient,na," 1,329.53 ",18,0.1,0.256464385,0.706821478,,0.174916713
relu,tanh_,50,C:/Users/adam/Documents/CS 230/Project/Lumo Data/quarter-big.csv,0.395162208,0.51541418,0.321369176,100,class_mae,class_percent_2buckRange,class_mse,50_,36,3,30,0.0001,categorical_crossentropy,3,20180731_225101,CNN,40,gradient,na," 1,542.18 ",18,0.1,0.397778472,0.543462382,,0.33690039
relu,tanh_,50,C:/Users/adam/Documents/CS 230/Project/Lumo Data/quarter-big.csv,0.475983336,0.422115463,0.403431529,50,class_mae,class_percent_2buckRange,class_mse,50_,36,3,30,0.0001,categorical_crossentropy,3,20180801_232158,CNN,40,gradient,na, 503.04 ,18,0.1,0.475518964,0.431283219,,0.383438098
relu,tanh_,50,C:/Users/adam/Documents/CS 230/Project/Lumo Data/quarter-big.csv,0.391180959,0.49281196,0.317534641,50,class_mae,class_percent_2buckRange,class_mse,50_,36,3,30,0.0001,categorical_crossentropy,3,20180801_234055,CNN,40,gradient,na, 438.21 ,18,0.1,0.408712163,0.472280705,,0.34625305
relu,tanh_,128,C:/Users/adam/Documents/CS 230/Project/Lumo Data/quarter-big.csv,0.307699924,0.647068444,0.245339435,50,class_mae,class_percent_2buckRange,class_mse,50_,36,6,30,0.001,categorical_crossentropy,6,20180801_233822,CNN,40,gradient,na, 104.85 ,18,0.1,0.297593676,0.655953251,,0.226938012
relu,tanh_,128,C:/Users/adam/Documents/CS 230/Project/Lumo Data/quarter-big.csv,0.205082007,0.774599821,0.152754595,200,class_mae,class_percent_2buckRange,class_mse,50_,36,6,30,0.001,categorical_crossentropy,6,20180801_235413,CNN,40,gradient,na, 416.72 ,18,0.1,0.207280584,0.777691712,,0.151392248
relu,tanh_,50,C:/Users/adam/Documents/CS 230/Project/Lumo Data/quarter-big.csv,0.239185811,0.738101051,0.192882569,500,class_mae,class_percent_2buckRange,class_mse,50_,36,6,30,0.0001,categorical_crossentropy,6,20180802_001242,CNN,40,gradient,na," 1,604.21 ",18,0.1,0.230425344,0.753634279,,0.175021578
relu,tanh_,50,C:/Users/adam/Documents/CS 230/Project/Lumo Data/SAMPLE_TimeSeries_Longest1000Runs_wAnthro_MultiLabeledSpeed_20180523.csv,0.277439737,0.568228113,0.105567822,500,class_mae,class_percent_2buckRange,class_mse,50_,36,6,30,0.0001,categorical_crossentropy,6,20180802_005004,CNN,40,gradient,na, 64.60 ,18,0.1,0.270624638,0.551020384,,0.105506703
